,security,trade_date,open,close,low,high,volume,open_interest,pre_close,high_limit,change_pct,distance,MA5,MA10,MA20
41,ZN9999.XSGE,2007-05-30,30200.0,30125.0,30005.0,30655.0,65978.0,19852.0,30245.0,31720.0,-0.004,-0.0001,30281.0,30303.0,31755.0
42,ZN9999.XSGE,2007-05-31,30365.0,30705.0,30295.0,30780.0,45712.0,20916.0,30125.0,31530.0,0.0193,0.0001,30305.0,30321.5,31625.0
43,ZN9999.XSGE,2007-06-01,31010.0,30590.0,30490.0,31095.0,40076.0,18400.0,30705.0,31740.0,-0.0037,0.0001,30463.0,30445.0,31541.0
44,ZN9999.XSGE,2007-06-04,30600.0,30150.0,30150.0,30670.0,14022.0,16120.0,30590.0,31910.0,-0.0144,0.0,30363.0,30387.5,31413.5
45,ZN9999.XSGE,2007-06-05,30480.0,30515.0,30360.0,30780.0,9690.0,13614.0,30150.0,31605.0,0.0121,0.0002,30417.0,30349.5,31254.0
46,ZN9999.XSGE,2007-06-06,30255.0,30295.0,30210.0,30480.0,3412.0,12354.0,30515.0,31750.0,-0.0072,0.0001,30451.0,30366.0,31041.0
47,ZN9999.XSGE,2007-06-07,30300.0,30140.0,30010.0,30485.0,37566.0,16450.0,30295.0,31965.0,-0.0051,0.0001,30338.0,30321.5,30812.5
48,ZN9999.XSGE,2007-06-08,30100.0,29925.0,29780.0,30250.0,31964.0,17286.0,30140.0,31430.0,-0.0071,0.0001,30205.0,30334.0,30642.25
49,ZN9999.XSGE,2007-06-11,30010.0,30270.0,29730.0,30280.0,49936.0,20506.0,29925.0,31185.0,0.0115,0.0002,30229.0,30296.0,30485.25
50,ZN9999.XSGE,2007-06-12,30490.0,29980.0,29960.0,30530.0,35568.0,18604.0,30270.0,31230.0,-0.0096,0.0002,30122.0,30269.5,30371.5
51,ZN9999.XSGE,2007-06-13,29900.0,29965.0,29780.0,30050.0,20366.0,17534.0,29980.0,31435.0,-0.0005,0.0002,30056.0,30253.5,30278.25
52,ZN9999.XSGE,2007-06-14,30010.0,29780.0,29730.0,30045.0,17254.0,18774.0,29965.0,31150.0,-0.0062,0.0001,29984.0,30161.0,30241.25
53,ZN9999.XSGE,2007-06-15,29850.0,28870.0,28820.0,29900.0,45988.0,18144.0,29780.0,31020.0,-0.0306,-0.0,29773.0,29989.0,30217.0
54,ZN9999.XSGE,2007-06-18,29080.0,29280.0,28785.0,29360.0,47068.0,19464.0,28870.0,30385.0,0.0142,0.0001,29575.0,29902.0,30144.75
55,ZN9999.XSGE,2007-06-19,28980.0,28750.0,28615.0,28980.0,34306.0,18318.0,29280.0,30210.0,-0.0181,-0.0,29329.0,29725.5,30037.5
56,ZN9999.XSGE,2007-06-20,28610.0,28905.0,28580.0,29050.0,36328.0,18372.0,28750.0,29940.0,0.0054,0.0,29117.0,29586.5,29976.25
57,ZN9999.XSGE,2007-06-21,28805.0,28810.0,28680.0,28880.0,20252.0,18108.0,28905.0,29985.0,-0.0033,-0.0,28923.0,29453.5,29887.5
58,ZN9999.XSGE,2007-06-22,28480.0,28160.0,28110.0,28490.0,38262.0,19238.0,28810.0,29930.0,-0.0226,-0.0002,28781.0,29277.0,29805.5
59,ZN9999.XSGE,2007-06-25,28205.0,27090.0,27090.0,28220.0,49488.0,22062.0,28160.0,29345.0,-0.038,-0.0006,28343.0,28959.0,29627.5
60,ZN9999.XSGE,2007-06-26,27270.0,26455.0,26445.0,27290.0,82268.0,20938.0,27090.0,28640.0,-0.0234,-0.0007,27884.0,28606.5,29438.0
61,ZN9999.XSGE,2007-06-27,25900.0,25620.0,25620.0,25930.0,18634.0,18616.0,26455.0,27755.0,-0.0316,-0.0008,27227.0,28172.0,29212.75
62,ZN9999.XSGE,2007-06-28,25420.0,26550.0,25390.0,26560.0,57652.0,15514.0,25620.0,26685.0,0.0363,-0.0003,26775.0,27849.0,29005.0
63,ZN9999.XSGE,2007-06-29,26420.0,26760.0,25860.0,26990.0,32892.0,12214.0,26550.0,27070.0,0.0079,-0.0001,26495.0,27638.0,28813.5
64,ZN9999.XSGE,2007-07-02,26415.0,26620.0,26165.0,26750.0,162866.0,28050.0,26760.0,27560.0,-0.0052,-0.0001,26401.0,27372.0,28637.0
65,ZN9999.XSGE,2007-07-03,27100.0,27535.0,27000.0,27535.0,116604.0,28214.0,26620.0,27535.0,0.0344,0.0001,26617.0,27250.5,28488.0
66,ZN9999.XSGE,2007-07-04,27255.0,26655.0,26605.0,27440.0,188006.0,33972.0,27535.0,28320.0,-0.032,-0.0,26824.0,27025.5,28306.0
67,ZN9999.XSGE,2007-07-05,26900.0,26670.0,26510.0,27000.0,158864.0,34226.0,26655.0,28105.0,0.0006,0.0,26848.0,26811.5,28132.5
68,ZN9999.XSGE,2007-07-06,26555.0,26250.0,26150.0,26580.0,115788.0,36054.0,26670.0,27770.0,-0.0157,0.0,26746.0,26620.5,27948.75
69,ZN9999.XSGE,2007-07-09,26325.0,26990.0,26320.0,27070.0,114632.0,33038.0,26250.0,27340.0,0.0282,0.0002,26820.0,26610.5,27784.75
70,ZN9999.XSGE,2007-07-10,26810.0,26565.0,26520.0,26885.0,117976.0,35138.0,26990.0,27875.0,-0.0157,0.0001,26626.0,26621.5,27614.0
71,ZN9999.XSGE,2007-07-11,26510.0,26360.0,26215.0,26510.0,90986.0,34896.0,26565.0,27725.0,-0.0077,0.0001,26567.0,26695.5,27433.75
72,ZN9999.XSGE,2007-07-12,26880.0,26940.0,26560.0,26955.0,81722.0,30630.0,26360.0,27385.0,0.022,0.0003,26621.0,26734.5,27291.75
73,ZN9999.XSGE,2007-07-13,27000.0,27210.0,26830.0,27325.0,81766.0,30072.0,26940.0,27840.0,0.01,0.0003,26813.0,26779.5,27208.75
74,ZN9999.XSGE,2007-07-16,27255.0,27070.0,27030.0,27420.0,85012.0,31108.0,27210.0,28260.0,-0.0051,0.0003,26829.0,26824.5,27098.25
75,ZN9999.XSGE,2007-07-17,26800.0,26980.0,26680.0,27000.0,53578.0,31866.0,27070.0,28245.0,-0.0033,0.0003,26912.0,26769.0,27009.75
